cap,strategy,gen,pop,best_f,mean_f,diversity,cap_used
20,dynamic,16,20,1,0.8726608026974475,0.174112765679247,20
20,dynamic,17,20,1,0.891407344496628,0.1681736967205849,20
20,dynamic,18,20,1,0.9061107206168855,0.14470156204142604,20
20,dynamic,19,20,1,0.8963208429820728,0.16519177547252492,20
20,dynamic,20,30,1,0.9012662254968286,0.15062281789483029,30
20,dynamic,21,30,1,0.8836133622671112,0.16550577959443624,30
20,dynamic,22,30,1,0.9224207680834338,0.12639215089915168,30
20,dynamic,23,30,1,0.8955649017022207,0.15845299024455994,30
20,dynamic,24,30,1,0.8966661450230523,0.1966200910252155,30
20,dynamic,25,30,1,0.896231456457316,0.17197167289376442,30
20,dynamic,26,30,1,0.9233933957184132,0.1245542720380744,30
20,dynamic,27,30,1,0.9152853096590253,0.14480390519856645,30
20,dynamic,28,30,1,0.9349581549937305,0.12938895679059345,30
20,dynamic,29,30,1,0.9039494449189114,0.18043008956850967,30
20,dynamic,30,30,1,0.9062497304790017,0.1604223600222219,30
20,dynamic,31,30,1,0.897211295032499,0.1695727812280774,30
20,dynamic,32,30,1,0.9352471122092338,0.1356579371382582,30
20,dynamic,33,30,1,0.9142914868475844,0.17057201840743702,30
20,dynamic,34,30,1,0.8873761387762399,0.2290942607040553,30
20,dynamic,35,30,1,0.9072210166792228,0.18477443702939547,30
20,dynamic,36,30,1,0.9269228663884512,0.1250081973325814,30
20,dynamic,37,30,1,0.9257327690004693,0.12993681277188357,30
20,dynamic,38,30,1,0.9456432005040731,0.1075006302499201,30
20,dynamic,39,30,1,0.9339688315028065,0.1332073271951054,30
20,dynamic,40,30,1,0.9268932976841341,0.1429398858469737,30
20,dynamic,41,30,1,0.9208898198198894,0.14749730544474018,30
20,dynamic,42,30,1,0.9157330571937954,0.15398123898100433,30
20,dynamic,43,30,1,0.9195426109505085,0.13893732854879953,30
20,dynamic,44,30,1,0.9187871324090003,0.14981868086473657,30
20,dynamic,45,30,1,0.8999810261527524,0.16604357512690254,30
20,dynamic,46,30,1,0.8896867466364452,0.18618611353234255,30
20,dynamic,47,30,1,0.8917977595391329,0.187645468414006,30
20,dynamic,48,30,1,0.9112598647209491,0.15705575829076343,30
20,dynamic,49,30,1,0.9054177504990805,0.15853703569595362,30
20,dynamic,50,30,1,0.9367736279458453,0.11465470772565954,30
20,dynamic,51,30,1,0.9044446352296377,0.15857952119433424,30
20,dynamic,52,30,1,0.9264283383146446,0.14379829055886856,30
20,dynamic,53,30,1,0.9131469952144279,0.14477997898104367,30
20,dynamic,54,30,1,0.9210173624927215,0.14137815383481797,30
20,dynamic,55,30,1,0.908034374630519,0.16212247707976069,30
20,dynamic,56,30,1,0.9162446656809055,0.13577614383211983,30
20,dynamic,57,30,1,0.9094778737907301,0.15652572135509304,30
20,dynamic,58,30,1,0.906773126466183,0.18000024616646892,30
20,dynamic,59,30,1,0.8856895471174095,0.17626986668613487,30
20,dynamic,60,30,1,0.9256474846676034,0.1252342725072738,30
20,dynamic,61,30,1,0.9240042532548249,0.14165299623604136,30
20,dynamic,62,30,1,0.9258306129193634,0.13573602200057244,30
20,dynamic,63,30,1,0.9287402711894974,0.14219763482736147,30
20,dynamic,64,30,1,0.8993403902822598,0.188162220523124,30
20,dynamic,65,30,1,0.8775079557191122,0.18777727200414246,30
20,dynamic,66,30,1,0.88575554495292,0.19248238744142954,30
20,dynamic,67,30,1,0.892212601354545,0.15418719957067176,30
20,dynamic,68,30,1,0.8827196991272205,0.15758929816202893,30
20,dynamic,69,30,1,0.9026295379181601,0.14205906109467012,30
20,dynamic,70,30,1,0.8864933210469104,0.17543845283697165,30
20,dynamic,71,30,1,0.9057579844124175,0.14037111730238439,30
20,dynamic,72,30,1,0.9349006511642689,0.13512790891220722,30
20,dynamic,73,30,1,0.9344381798678036,0.11734714232504616,30
20,dynamic,74,30,1,0.9360725489715753,0.1359517649071474,30
20,dynamic,75,30,1,0.9345592969431369,0.11308879789648693,30
20,dynamic,76,30,1,0.9329728075522102,0.12366142980516714,30
20,dynamic,77,30,1,0.9325585393039714,0.133563568844174,30
20,dynamic,78,30,1,0.9167644470776949,0.14102076071733893,30
20,dynamic,79,30,1,0.8978767806081263,0.14454457622136976,30
20,dynamic,80,30,1,0.9166426056431374,0.1376233959848988,30
